SampleID,Site,CoreNo,Treatment,date_collected,date_incubated,date_saturated,date_deconstructed,soil_pH_water,DryMass_SoilOnly_g
C10,CPCRW,10,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.08,285.1912935
C11,CPCRW,11,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,150.5469542
C12,CPCRW,12,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,232.0642909
C13,CPCRW,13,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,138.9564929
C14,CPCRW,14,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,233.1029907
C15,CPCRW,15,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,4.77,156.3382923
C16,CPCRW,16,field_moist,9/18/2016,10/12/2016 or 10/13/2016,11/10/2016,11/14/2016,4.89,213.6734558
C17,CPCRW,17,field_moist,9/18/2016,10/12/2016 or 10/13/2017,11/10/2016,11/14/2016,4.99,209.9944352
C18,CPCRW,18,field_moist,9/18/2016,10/12/2016 or 10/13/2018,11/10/2016,11/14/2016,4.9,168.5112716
C19,CPCRW,19,field_moist,9/18/2016,10/12/2016 or 10/13/2019,11/10/2016,11/14/2016,5.22,320.7323536
C20,CPCRW,20,field_moist,9/18/2016,10/12/2016 or 10/13/2020,11/10/2016,11/14/2016,4.96,278.9049358
C21,CPCRW,21,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.09,225.8964364
C22,CPCRW,22,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.1,216.8686047
C23,CPCRW,23,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.67,214.9495318
C24,CPCRW,24,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.05,198.7140362
C25,CPCRW,25,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,4.7,232.2985758
C6,CPCRW,6,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.94,188.0518345
C7,CPCRW,7,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.44,367.9761359
C8,CPCRW,8,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.22,255.0452512
C9,CPCRW,9,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.44,173.2818088
D10,DWP,10,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.305,402.1792924
D11,DWP,11,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.62,432.7479189
D12,DWP,12,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.67,392.6562066
D13,DWP,13,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.45,352.0847047
D14,DWP,14,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.495,362.8150763
D15,DWP,15,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.5,296.556872
D16,DWP,16,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,NA,NA
D17,DWP,17,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.765,318.2455131
D18,DWP,18,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.705,461.7921698
D19,DWP,19,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.59,457.9852308
D20,DWP,20,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.77,387.1024656
D21,DWP,21,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.755,431.4795304
D22,DWP,22,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,5.575,421.1880556
D23,DWP,23,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.955,404.8400414
D24,DWP,24,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.78,307.0701162
D25,DWP,25,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.88,330.7646939
D6,DWP,6,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.69,444.5054435
D7,DWP,7,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,5.055,507.140625
D8,DWP,8,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.6,442.1529072
D9,DWP,9,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.685,277.9192724
S1,SR,1,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.03,111.5014703
S10,SR,10,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.94,118.0595059
S11,SR,11,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,5.88,127.1666186
S13,SR,13,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,5.963333333,113.6203187
S14,SR,14,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.93,150.3878501
S15,SR,15,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.15,128.5908449
S16,SR,16,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.08,82.08956272
S17,SR,17,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.31,111.72
S18,SR,18,sat_II,10/26/2016,11/10/2016,11/10/2016,12/16/2016,6.13,119.8395918
S19,SR,19,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.38,107.697627
S2,SR,2,sat_II,10/26/2016,11/10/2016,11/10/2016,12/14/2016,5.73,121.2289219
S21,SR,21,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,5.95,96.54914228
S23,SR,23,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.03,125.0451992
S24,SR,24,sat_II,10/26/2016,11/10/2016,11/10/2016,12/15/2016,6.14,127.4088993
S25,SR,25,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.82,146.1524199
S3,SR,3,sat_II,10/26/2016,11/10/2016,11/10/2016,12/13/2016,6.07,125.1702463
S4,SR,4,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.89,154.0839921
S5,SR,5,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,6.02,128.7730416
S7,SR,7,sat_II,10/26/2016,11/10/2016,11/10/2016,12/12/2016,5.86,126.5461793
S9,SR,9,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,5.98,139.3923077
