SampleID,Site,CoreNo,Treatment,date_collected,date_incubated,date_saturated,date_deconstructed,soil_pH_water,Liquid_phase_vol_calc_cm3,Volume_Soil_cm3,DryMass_SoilOnly_g,Mass_EverythingButSoil_g,Soil Solution pH
C6,CPCRW,6,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.94,NA,NA,188.0518345,NA,NA
C7,CPCRW,7,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.44,NA,NA,367.9761359,NA,NA
C8,CPCRW,8,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.22,NA,NA,255.0452512,NA,NA
C9,CPCRW,9,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.44,NA,NA,173.2818088,NA,NA
C10,CPCRW,10,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,5.08,NA,NA,285.1912935,NA,NA
C11,CPCRW,11,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,NA,NA,150.5469542,NA,NA
C12,CPCRW,12,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,NA,NA,232.0642909,NA,NA
C13,CPCRW,13,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,NA,NA,138.9564929,NA,NA
C14,CPCRW,14,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,NA,NA,NA,233.1029907,NA,NA
C15,CPCRW,15,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,4.77,NA,NA,156.3382923,NA,NA
C16,CPCRW,16,field_moist,9/18/2016,10/12/2016 or 10/13/2016,11/10/2016,11/14/2016,4.89,NA,NA,213.6734558,NA,NA
C17,CPCRW,17,field_moist,9/18/2016,10/12/2016 or 10/13/2017,11/10/2016,11/14/2016,4.99,NA,NA,209.9944352,NA,NA
C18,CPCRW,18,field_moist,9/18/2016,10/12/2016 or 10/13/2018,11/10/2016,11/14/2016,4.9,NA,NA,168.5112716,NA,NA
C19,CPCRW,19,field_moist,9/18/2016,10/12/2016 or 10/13/2019,11/10/2016,11/14/2016,5.22,NA,NA,320.7323536,NA,NA
C20,CPCRW,20,field_moist,9/18/2016,10/12/2016 or 10/13/2020,11/10/2016,11/14/2016,4.96,NA,NA,278.9049358,NA,NA
C21,CPCRW,21,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.09,NA,NA,225.8964364,NA,NA
C22,CPCRW,22,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.1,NA,NA,216.8686047,NA,NA
C23,CPCRW,23,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.67,NA,NA,214.9495318,NA,NA
C24,CPCRW,24,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,5.05,NA,NA,198.7140362,NA,NA
C25,CPCRW,25,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,4.7,NA,NA,232.2985758,NA,NA
S9,SR,9,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,5.98,NA,NA,139.3923077,NA,NA
S16,SR,16,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.08,NA,NA,82.08956272,NA,NA
S17,SR,17,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.31,NA,NA,111.72,NA,NA
S23,SR,23,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,6.03,NA,NA,125.0451992,NA,NA
S11,SR,11,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,5.88,NA,NA,127.1666186,NA,NA
S7,SR,7,sat_II,10/26/2016,11/10/2016,11/10/2016,12/12/2016,5.86,NA,NA,126.5461793,NA,NA
S3,SR,3,sat_II,10/26/2016,11/10/2016,11/10/2016,12/13/2016,6.07,NA,NA,125.1702463,NA,NA
S2,SR,2,sat_II,10/26/2016,11/10/2016,11/10/2016,12/14/2016,5.73,NA,NA,121.2289219,NA,NA
S24,SR,24,sat_II,10/26/2016,11/10/2016,11/10/2016,12/15/2016,6.14,NA,NA,127.4088993,NA,NA
S18,SR,18,sat_II,10/26/2016,11/10/2016,11/10/2016,12/16/2016,6.13,NA,NA,119.8395918,NA,NA
S21,SR,21,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,5.95,NA,NA,96.54914228,NA,NA
S13,SR,13,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.12,NA,NA,113.6203187,NA,NA
S19,SR,19,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.38,NA,NA,107.697627,NA,NA
S15,SR,15,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.15,NA,NA,128.5908449,NA,NA
S1,SR,1,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,6.03,NA,NA,111.5014703,NA,NA
S4,SR,4,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.89,NA,NA,154.0839921,NA,NA
S5,SR,5,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,6.02,NA,NA,128.7730416,NA,NA
S25,SR,25,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.82,NA,NA,146.1524199,NA,NA
S10,SR,10,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.94,NA,NA,118.0595059,NA,NA
S14,SR,14,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,5.93,NA,NA,150.3878501,NA,NA
D6,DWP,6,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.69,NA,NA,444.5054435,NA,NA
D7,DWP,7,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,5.055,NA,NA,507.140625,NA,NA
D8,DWP,8,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.6,NA,NA,442.1529072,NA,NA
D9,DWP,9,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.685,NA,NA,277.9192724,NA,NA
D10,DWP,10,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,4.305,NA,NA,402.1792924,NA,NA
D11,DWP,11,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.62,NA,NA,432.7479189,NA,NA
D12,DWP,12,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.67,NA,NA,392.6562066,NA,NA
D13,DWP,13,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.45,NA,NA,352.0847047,NA,NA
D14,DWP,14,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.495,NA,NA,362.8150763,NA,NA
D15,DWP,15,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,4.5,NA,NA,296.556872,NA,NA
D16,DWP,16,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,NA,NA,NA,318.2455131,NA,NA
D17,DWP,17,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.765,NA,NA,461.7921698,NA,NA
D18,DWP,18,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.705,NA,NA,457.9852308,NA,NA
D19,DWP,19,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.59,NA,NA,387.1024656,NA,NA
D20,DWP,20,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,4.77,NA,NA,431.4795304,NA,NA
D21,DWP,21,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.755,NA,NA,421.1880556,NA,NA
D22,DWP,22,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,5.575,NA,NA,404.8400414,NA,NA
D23,DWP,23,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.955,NA,NA,307.0701162,NA,NA
D24,DWP,24,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.78,NA,NA,330.7646939,NA,NA
D25,DWP,25,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,4.88,NA,NA,NA,NA,NA
