DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2016-11-03                16:53:46.148              307.37067302              7376.896152               308.37067302              1478192026.149            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.2100235358E+000         2.7007648728E+000         5.0938429851E+002         5.1764192981E+002         1.0072691681E+000         1.2643863210E+000         
2016-11-03                16:53:48.444              307.37069958              7376.896790               308.37069958              1478192028.444            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.2100235358E+000         2.2387469083E+000         5.0938429851E+002         5.1747667606E+002         1.0121972964E+000         1.2703859149E+000         
2016-11-03                16:53:50.058              307.37071826              7376.897238               308.37071826              1478192030.058            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0820024090E+000         2.2387469083E+000         5.0938429851E+002         5.1747667606E+002         1.0121972964E+000         1.2703859149E+000         
2016-11-03                16:53:51.012              307.37072931              7376.897503               308.37072931              1478192031.012            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0820024090E+000         2.2387469083E+000         5.0926758356E+002         5.1747667606E+002         1.0121972964E+000         1.2703859149E+000         
2016-11-03                16:53:53.230              307.37075499              7376.898120               308.37075499              1478192033.231            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0820024090E+000         2.1091095101E+000         5.0926758356E+002         5.1737234540E+002         1.0107793076E+000         1.2686598043E+000         
2016-11-03                16:53:54.842              307.37077363              7376.898567               308.37077363              1478192034.842            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0823892813E+000         2.1091095101E+000         5.0926758356E+002         5.1737234540E+002         1.0107793076E+000         1.2686598043E+000         
2016-11-03                16:53:55.792              307.37078463              7376.898831               308.37078463              1478192035.792            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0823892813E+000         2.1091095101E+000         5.0828223946E+002         5.1737234540E+002         1.0107793076E+000         1.2686598043E+000         
2016-11-03                16:53:58.033              307.37081058              7376.899454               308.37081058              1478192038.034            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0823892813E+000         2.1095405971E+000         5.0828223946E+002         5.1638301391E+002         1.0150861119E+000         1.2739020180E+000         
2016-11-03                16:53:59.642              307.37082920              7376.899901               308.37082920              1478192039.643            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0815496869E+000         2.1095405971E+000         5.0828223946E+002         5.1638301391E+002         1.0150861119E+000         1.2739020180E+000         
2016-11-03                16:54:00.592              307.37084020              7376.900165               308.37084020              1478192040.593            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0815496869E+000         2.1095405971E+000         5.0787644797E+002         5.1638301391E+002         1.0150861119E+000         1.2739020180E+000         
2016-11-03                16:54:02.865              307.37086650              7376.900796               308.37086650              1478192042.866            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0815496869E+000         2.1087584405E+000         5.0787644797E+002         5.1599115887E+002         1.0158228723E+000         1.2747986672E+000         
2016-11-03                16:54:04.365              307.37088385              7376.901213               308.37088385              1478192044.365            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0810336280E+000         2.1087584405E+000         5.0787644797E+002         5.1599115887E+002         1.0158228723E+000         1.2747986672E+000         
2016-11-03                16:54:05.312              307.37089481              7376.901476               308.37089481              1478192045.312            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0810336280E+000         2.1087584405E+000         5.0727413335E+002         5.1599115887E+002         1.0158228723E+000         1.2747986672E+000         
2016-11-03                16:54:07.572              307.37092097              7376.902103               308.37092097              1478192047.572            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0810336280E+000         2.1082728823E+000         5.0727413335E+002         5.1539032327E+002         1.0178338676E+000         1.2772458867E+000         
2016-11-03                16:54:09.170              307.37093947              7376.902547               308.37093947              1478192049.170            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0816067629E+000         2.1082728823E+000         5.0727413335E+002         5.1539032327E+002         1.0178338676E+000         1.2772458867E+000         
2016-11-03                16:54:10.101              307.37095025              7376.902806               308.37095025              1478192050.102            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0816067629E+000         2.1082728823E+000         5.0702021434E+002         5.1539032327E+002         1.0178338676E+000         1.2772458867E+000         
2016-11-03                16:54:12.408              307.37097696              7376.903447               308.37097696              1478192052.409            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0816067629E+000         2.1088670609E+000         5.0702021434E+002         5.1513637514E+002         1.0168215192E+000         1.2760139757E+000         
