DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2017-07-26                20:21:23.068              206.51485032              4956.356408               207.51485032              1501100483.068            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0040458563E+000         2.0399356604E+000         5.1362478778E+002         5.2487029729E+002         1.3203623003E+000         1.6422176689E+000         
2017-07-26                20:21:24.706              206.51486928              4956.356863               207.51486928              1501100484.706            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992649945E+000         2.0399356604E+000         5.1362478778E+002         5.2487029729E+002         1.3203623003E+000         1.6422176689E+000         
2017-07-26                20:21:25.697              206.51488076              4956.357138               207.51488076              1501100485.698            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992649945E+000         2.0399356604E+000         5.0973333542E+002         5.2487029729E+002         1.3203623003E+000         1.6422176689E+000         
2017-07-26                20:21:27.994              206.51490735              4956.357776               207.51490735              1501100487.995            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992649945E+000         2.0331995979E+000         5.0973333542E+002         5.2031049848E+002         1.3074855501E+000         1.6268097552E+000         
2017-07-26                20:21:29.717              206.51492728              4956.358255               207.51492728              1501100489.717            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992759494E+000         2.0331995979E+000         5.0973333542E+002         5.2031049848E+002         1.3074855501E+000         1.6268097552E+000         
2017-07-26                20:21:30.680              206.51493843              4956.358522               207.51493843              1501100490.680            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992759494E+000         2.0331995979E+000         5.0920935239E+002         5.2031049848E+002         1.3074855501E+000         1.6268097552E+000         
2017-07-26                20:21:33.078              206.51496618              4956.359188               207.51496618              1501100493.078            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9992759494E+000         2.0331275029E+000         5.0920935239E+002         5.1974970847E+002         1.3140141726E+000         1.6346230833E+000         
2017-07-26                20:21:34.773              206.51498581              4956.359659               207.51498581              1501100494.774            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9991618233E+000         2.0331275029E+000         5.0920935239E+002         5.1974970847E+002         1.3140141726E+000         1.6346230833E+000         
2017-07-26                20:21:35.753              206.51499715              4956.359932               207.51499715              1501100495.754            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9991618233E+000         2.0331275029E+000         5.0895417001E+002         5.1974970847E+002         1.3140141726E+000         1.6346230833E+000         
2017-07-26                20:21:38.267              206.51502625              4956.360630               207.51502625              1501100498.268            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9991618233E+000         2.0331150201E+000         5.0895417001E+002         5.1952150117E+002         1.3153826061E+000         1.6362604369E+000         
2017-07-26                20:21:39.849              206.51504456              4956.361069               207.51504456              1501100499.850            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9996801805E+000         2.0331150201E+000         5.0895417001E+002         5.1952150117E+002         1.3153826061E+000         1.6362604369E+000         
2017-07-26                20:21:40.805              206.51505562              4956.361335               207.51505562              1501100500.806            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9996801805E+000         2.0331150201E+000         5.0883042447E+002         5.1952150117E+002         1.3153826061E+000         1.6362604369E+000         
2017-07-26                20:21:43.326              206.51508480              4956.362035               207.51508480              1501100503.327            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9996801805E+000         2.0336519859E+000         5.0883042447E+002         5.1939823841E+002         1.3147615458E+000         1.6355173434E+000         
2017-07-26                20:21:44.923              206.51510328              4956.362479               207.51510328              1501100504.923            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9999226560E+000         2.0336519859E+000         5.0883042447E+002         5.1939823841E+002         1.3147615458E+000         1.6355173434E+000         
2017-07-26                20:21:45.867              206.51511420              4956.362741               207.51511420              1501100505.867            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9999226560E+000         2.0336519859E+000         5.0883496443E+002         5.1939823841E+002         1.3147615458E+000         1.6355173434E+000         
2017-07-26                20:21:48.375              206.51514324              4956.363438               207.51514324              1501100508.376            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9999226560E+000         2.0338819846E+000         5.0883496443E+002         5.1939770719E+002         1.3141176989E+000         1.6347469588E+000         
2017-07-26                20:21:49.994              206.51516198              4956.363887               207.51516198              1501100509.995            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0001646316E+000         2.0338819846E+000         5.0883496443E+002         5.1939770719E+002         1.3141176989E+000         1.6347469588E+000         
2017-07-26                20:21:50.966              206.51517322              4956.364157               207.51517322              1501100510.966            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0001646316E+000         2.0338819846E+000         5.0854261937E+002         5.1939770719E+002         1.3141176989E+000         1.6347469588E+000         
2017-07-26                20:21:53.493              206.51520248              4956.364859               207.51520248              1501100513.494            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0001646316E+000         2.0341836398E+000         5.0854261937E+002         5.1911657756E+002         1.3189967221E+000         1.6405841859E+000         
2017-07-26                20:21:55.095              206.51522102              4956.365304               207.51522102              1501100515.096            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0001501123E+000         2.0341836398E+000         5.0854261937E+002         5.1911657756E+002         1.3189967221E+000         1.6405841859E+000         
